=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:16:00 =~=~=~=~=~=~=~=~=~=~=~=
f~f~xxxx~`~ff~fff`ff`~fxff`ff`f`fxf~f~fff~fxfffx~fx~`fx~fx~`fx~~fx~`fx`xx~xxxxxxfxfxxfxxxf`f0:0:0:47;-0.1286;-0.9682;0.1358;-0.5519;-0.1816;0.0915;2;
0:0:0:50;-0.5941;-4.4330;0.6107;-2.5538;-0.8481;0.4007;2;
0:0:0:53;-1.2152;-8.9258;1.2052;-5.1809;-1.7434;0.7219;2;
0:0:0:56;-1.5391;-11.0578;1.4747;-6.4494;-2.2265;0.7050;2;
0:0:0:59;-1.4964;-10.5496;1.4197;-6.1771;-2.2285;0.4508;2;
0:0:0:61;-1.3673;-9.5841;1.3261;-5.6223;-2.1138;0.2887;2;
0:0:0:71;-1.3358;-9.3514;1.3161;-5.5018;-2.1176;0.2488;2;
0:0:0:81;-1.3672;-9.5676;1.3208;-5.7067;-2.3548;0.1820;2;
0:0:0:91;-1.3924;-9.6935;1.2727;-5.8460;-2.9800;0.1316;2;
0:0:0:101;-1.4121;-9.6211;1.1911;-5.7685;-4.3180;0.3044;2;
0:0:0:111;-1.3985;-9.5100;1.1184;-5.6615;-6.4781;0.7391;2;
0:0:0:121;-1.3262;-9.5161;1.0798;-5.6508;-8.6790;1.2301;2;
0:0:0:131;-1.2614;-9.6747;1.0756;-5.6689;-9.8490;1.5550;2;
0:0:0:141;-1.2768;-9.8836;1.0962;-5.7154;-9.9041;1.6487;2;
0:0:0:151;-1.3498;-9.9775;1.1365;-5.8453;-9.6716;1.6490;2;
0:0:0:161;-1.3959;-9.8605;1.1999;-6.0942;-10.0418;1.7783;2;
0:0:0:171;-1.3815;-9.6234;1.2756;-6.5061;-11.3870;2.0598;2;
0:0:0:181;-1.3402;-9.4682;1.3488;-7.0493;-13.1601;2.2338;2;
0:0:0:191;-1.2693;-9.4759;1.4248;-7.6108;-14.3063;2.1311;2;
