=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:09:52 =~=~=~=~=~=~=~=~=~=~=~=
f~f~xxxx~`~ff~fff`ff`~fxff`ff`f`fxf~f~fff~fxfffx~fx~`fx~fx~`fx~~fx~`fx`xx~xxxxxxfxfxxfxxxf`f0:0:0:47;-0.1246;-0.9423;0.1499;-0.1218;0.2695;0.2133;2;
0:0:0:50;-0.5736;-4.3117;0.6863;-0.5802;1.2519;0.9840;2;
0:0:0:53;-1.1645;-8.6843;1.3839;-1.2207;2.5217;1.9849;2;
0:0:0:56;-1.4562;-10.7915;1.7315;-1.5753;3.0451;2.4509;2;
0:0:0:59;-1.3917;-10.3713;1.6866;-1.5477;2.7993;2.3244;2;
0:0:0:61;-1.2413;-9.4988;1.5485;-1.4468;2.6089;2.0647;2;
0:0:0:71;-1.1757;-9.2984;1.4924;-1.4788;2.9014;1.8800;2;
0:0:0:81;-1.1951;-9.5267;1.5270;-1.6256;3.4812;1.7600;2;
0:0:0:91;-1.2707;-9.6905;1.5875;-1.8625;3.7465;1.7254;2;
0:0:0:101;-1.3818;-9.6898;1.6218;-2.1754;3.0698;1.7562;2;
0:0:0:111;-1.4819;-9.6501;1.6204;-2.4268;1.5033;1.7743;2;
0:0:0:121;-1.5336;-9.6339;1.5845;-2.5434;-0.1940;1.8360;2;
0:0:0:131;-1.5053;-9.6117;1.5403;-2.7029;-1.3468;1.9605;2;
0:0:0:141;-1.3858;-9.5594;1.5327;-2.9900;-1.7966;1.9547;2;
0:0:0:151;-1.2601;-9.5080;1.5516;-3.2680;-1.8490;1.7504;2;
0:0:0:161;-1.2456;-9.4955;1.5655;-3.5164;-2.0823;1.5200;2;
0:0:0:171;-1.3472;-9.5227;1.5772;-3.7889;-2.8701;1.3782;2;
0:0:0:181;-1.4594;-9.5530;1.5754;-4.0390;-4.0085;1.2376;2;
0:0:0:191;-1.4831;-9.5392;1.5390;-4.2178;-4.9496;1.0062;2;
0:0:0:201;-1.4030;-9.4957;1.4737;-4.2986;-5.3428;0.7856;2;
0:0:0:211;-1.2675;-9.4932;1.4024;-4.3154;-5.1843;0.7239;2;
0:0:0:221;-1.1376;-9.5565;1.3422;-4.3703;-4.6640;0.7924;2;
0:0:0:231;-1.0567;-9.6353;1.2963;-4.4627;-4.0300;0.8455;2;
0:0:0:241;-1.0292;-9.6822;1.2889;-4.5328;-3.3737;0.8423;2;
0:0:0:251;-1.0339;-9.6992;1.3277;-4.5931;-2.7321;0.8625;2;
0:0:0:261;-1.0579;-9.6897;1.3485;-4.6412;-2.3246;0.9417;2;
0:0:0:271;-1.1160;-9.6678;1.3102;-4.5993;-2.3532;0.9892;2;
0:0:0:281;-1.2101;-9.6697;1.2377;-4.4168;-2.6589;0.9167;2;
0:0:0:291;-1.2570;-9.6730;1.1440;-4.1845;-2.6229;0.8637;2;
0:0:0:301;-1.1913;-9.6508;1.0565;-4.0557;-1.7647;0.9958;2;
0:0:0:311;-1.1141;-9.6564;1.0368;-4.0226;-0.3993;1.1655;2;
0:0:0:321;-1.1817;-9.7290;1.0884;-3.8972;0.6352;1.3176;2;
0:0:0:331;-1.3735;-9.8184;1.1456;-3.6541;0.5136;1.7518;2;
0:0:0:341;-1.4782;-9.8524;1.1515;-3.5242;-0.8773;2.3947;2;
0:0:0:351;-1.3320;-9.8010;1.1181;-3.5688;-2.4175;2.7386;2;
0:0:0:361;-1.0039;-9.6871;1.0921;-3.6235;-2.6079;2.8181;2;
