=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:12:55 =~=~=~=~=~=~=~=~=~=~=~=
JJ!N-&rjrjrf~f~xxxx~`~ff~fff`ff`~fxff`ff`f`fxf~f~fff~fxfffx~fx~`fx~fx~`fx~~fx~`fx`xx~xxxxxxfxfxxfxxxf`f0:0:0:47;-0.0312;-0.9635;0.0218;-0.6301;-0.2854;0.2764;2;
0:0:0:50;-0.1442;-4.4129;0.1088;-2.8892;-1.3337;1.2596;2;
0:0:0:53;-0.2993;-8.9022;0.2478;-5.8033;-2.7531;2.4844;2;
0:0:0:56;-0.3991;-11.0871;0.3520;-7.1273;-3.4948;2.9303;2;
0:0:0:59;-0.4323;-10.6826;0.3608;-6.7143;-3.3893;2.5564;2;
0:0:0:61;-0.4502;-9.7968;0.3094;-6.0590;-3.1330;2.0741;2;
0:0:0:71;-0.5031;-9.5808;0.2635;-5.9581;-3.2203;1.8010;2;
0:0:0:81;-0.6006;-9.8100;0.2267;-6.2523;-3.6556;1.4919;2;
0:0:0:91;-0.6516;-9.9688;0.1971;-6.5932;-4.1369;0.9156;2;
0:0:0:101;-0.5813;-9.8906;0.2182;-6.8347;-4.1128;0.1670;2;
0:0:0:111;-0.4962;-9.7321;0.2757;-6.9687;-3.1922;-0.6230;2;
0:0:0:121;-0.5673;-9.7079;0.2601;-7.0235;-1.9881;-1.4410;2;
0:0:0:131;-0.7743;-9.8550;0.0893;-7.0559;-1.9823;-2.2885;2;
0:0:0:141;-0.9333;-10.0052;-0.1712;-7.0740;-3.7874;-3.1193;2;
0:0:0:151;-0.9467;-9.9975;-0.3369;-7.0258;-6.3269;-3.7689;2;
0:0:0:161;-0.8226;-9.8536;-0.2713;-6.9801;-8.1801;-4.0998;2;
0:0:0:171;-0.5460;-9.7204;-0.0101;-7.0864;-8.6068;-4.2756;2;
0:0:0:181;-0.1337;-9.6941;0.2710;-7.3568;-7.5554;-4.5750;2;
0:0:0:191;0.2684;-9.7360;0.4054;-7.7438;-5.5974;-4.9254;2;
0:0:0:201;0.4842;-9.7892;0.3565;-8.1855;-3.5974;-5.0414;2;
0:0:0:211;0.4746;-9.8775;0.2093;-8.4655;-2.2576;-4.8615;2;
0:0:0:221;0.3667;-10.0013;0.0766;-8.4414;-1.8069;-4.4668;2;
0:0:0:231;0.3145;-10.1057;0.0102;-8.2441;-1.7873;-3.9558;2;
0:0:0:241;0.3530;-10.1768;-0.0195;-7.9215;-1.4048;-3.4623;2;
0:0:0:251;0.4350;-10.1913;-0.0655;-7.5042;-0.4388;-2.9285;2;
0:0:0:261;0.5646;-10.0872;-0.1450;-7.2665;0.6369;-2.1018;2;
0:0:0:271;0.7851;-9.9008;-0.2388;-7.2571;1.5683;-0.9646;2;
0:0:0:281;1.0215;-9.7875;-0.2973;-7.1750;2.6963;0.1824;2;
0:0:0:291;1.1027;-9.8466;-0.2739;-6.8444;4.2711;1.2055;2;
0:0:0:301;0.9849;-10.0021;-0.1841;-6.3387;6.0699;2.3420;2;
0:0:0:311;0.7978;-10.1149;-0.0838;-5.8267;7.8852;3.7260;2;
0:0:0:321;0.6566;-10.1406;-0.0062;-5.4565;9.6454;5.0598;2;
0:0:0:331;0.5445;-10.1006;0.0038;-5.3326;10.9897;5.8860;2;
0:0:0:341;0.4180;-10.0100;-0.1159;-5.4847;11.4819;6.0602;2;
0:0:0:351;0.2864;-9.9090;-0.3182;-5.6641;11.1762;6.0768;2;
0:0:0:361;0.1674;-9.8539;-0.4567;-5.4664;10.5188;6.5814;2;
0:0:0:371;0.1159;-9.8568;-0.4508;-4.8639;9.9922;7.4998;2;
0:0:0:381;0.1868;-9.8894;-0.3232;-4.1765;10.0235;8.2466;2;
0:0:0:391;0.3012;-9.9125;-0.1433;-3.6406;10.8374;8.5353;2;
0:0:0:401;0.3260;-9.8914;0.0030;-3.3587;12.1624;8.5635;2;
0:0:0:411;0.2309;-9.8195;0.0488;-3.3984;13.3843;8.6159;2;
0:0:0:421;0.0812;-9.7445;0.0085;-3.7371;14.2700;8.7061;2;
0:0:0:431;-0.0517;-9.7367;-0.0249;-4.1363;14.9436;8.7618;2;
0:0:0:441;-0.1605;-9.8153;-0.0269;-4.3042;15.2307;8.8566;2;
0:0:0:451;-0.2630;-9.9344;-0.0545;-4.2473;14.9169;8.9485;2;
0:0:0:461;-0.3250;-10.0140;-0.1158;-4.1030;14.2330;8.9061;2;
0:0:0:471;-0.3138;-10.0072;-0.2036;-3.8741;13.7204;8.8466;2;
0:0:0:481;-0.2647;-9.9524;-0.3196;-3.6417;13.8293;8.9497;2;
0:0:0:491;-0.2503;-9.9036;-0.4252;-3.5283;14.3692;9.1553;2;
0:0:0:501;-0.3113;-9.8505;-0.4884;-3.4653;14.5730;9.3354;2;
0:0:0:511;-0.3975;-9.7588;-0.5253;-3.4170;13.8778;9.6081;2;
0:0:0:521;-0.4049;-9.6745;-0.5537;-3.4695;12.5666;10.1013;2;
0:0:0:531;-0.2690;-9.6913;-0.5657;-3.5241;11.5925;10.5503;2;
0:0:0:541;-0.0365;-9.7953;-0.5893;-3.4210;11.5367;10.7236;2;
0:0:0:551;0.1227;-9.9025;-0.6502;-3.1880;12.0837;10.7823;2;
0:0:0:561;0.0914;-9.9962;-0.6544;-2.8217;12.6058;10.9068;2;
0:0:0:571;-0.0366;-10.0499;-0.5345;-2.3493;12.9139;11.1817;2;
0:0:0:581;-0.0914;-9.9646;-0.4003;-2.0195;13.3596;11.6898;2;
0:0:0:591;-0.0399;-9.7564;-0.3514;-2.0107;14.2459;12.3751;2;
0:0:0:601;-0.0077;-9.6257;-0.3582;-2.1949;15.4171;12.9974;2;
0:0:0:611;-0.1234;-9.7076;-0.3957;-2.2774;16.4484;13.2873;2;
0:0:0:621;-0.3768;-9.9040;-0.4811;-2.1324;17.0177;13.1750;2;
0:0:0:631;-0.6612;-10.0301;-0.5746;-1.8709;16.9306;12.8319;2;
0:0:0:641;-0.8984;-10.0130;-0.6178;-1.5632;15.8891;12.5005;2;
0:0:0:651;-1.0687;-9.9019;-0.6423;-1.2530;13.8599;12.2837;2;
0:0:0:661;-1.1739;-9.7785;-0.7022;-1.0762;11.6143;12.0639;2;
0:0:0:671;-1.2709;-9.6895;-0.7638;-1.0877;10.0220;11.7782;2;
0:0:0:681;-1.4766;-9.6292;-0.7825;-1.2703;8.7716;11.5163;2;
0:0:0:691;-1.7858;-9.5974;-0.8057;-1.5850;6.6171;11.2356;2;
0:0:0:701;-1.9823;-9.6414;-0.8771;-1.7926;3.1262;10.7122;2;
0:0:0:711;-1.8821;-9.7762;-0.9339;-1.6230;-0.5053;9.7842;2;
0:0:0:721;-1.6023;-9.9098;-0.9049;-1.1198;-2.8131;8.6307;2;
0:0:0:731;-1.4229;-9.9545;-0.8325;-0.5531;-3.8161;7.7402;2;
0:0:0:741;-1.4037;-9.9674;-0.8083;-0.1158;-4.6595;7.3612;2;
0:0:0:751;-1.3634;-10.0333;-0.8138;0.1696;-5.6655;7.0951;2;
0:0:0:761;-1.2328;-10.0897;-0.7137;0.3713;-6.1529;6.4000;2;
0:0:0:771;-1.1492;-10.0463;-0.4503;0.5935;-6.0062;5.2878;2;
0:0:0:781;-1.1697;-9.9519;-0.1773;0.8544;-5.6629;4.1089;2;
0:0:0:791;-1.1913;-9.8896;-0.0823;0.9978;-5.1283;3.1017;2;
0:0:0:801;-1.1765;-9.8573;-0.1721;0.8702;-4.3124;2.3850;2;
0:0:0:811;-1.1836;-9.8254;-0.3399;0.5672;-3.4521;1.8980;2;
