0.39;-12.49;-2.47;-55.12;22.29;-115.04;40.82;4.29;6.49;24.78;264.05;-26.86;-16.04;-22.68;-18.54;-138.94;-219.65;-256.48;12.77;7.05;7.16;59.66;94.23;82.55
9.15;-4.07;-5.61;58.29;-6.76;110.45;15.39;3.62;19.22;190.86;83.02;367.91;1;-29.74;-12.32;-198.01;-106.81;-288.12;4.02;8.58;6.01;117.82;62.4;218.04
1.3;-12.57;-2.7;-50.21;3.6;-117.23;41.94;3.96;12.88;30.29;261.14;-34.08;-17.68;-21.14;-21.84;-147.99;-259.86;-257.09;13.45;7.19;8.57;58.55;106.78;82.16
8.78;-4.5;-6.4;63.34;-3.53;97.53;18.17;3.38;21.45;196.95;112.01;335.02;-11.93;-32.01;-18.4;-225.74;-81.4;-332.5;5.55;9.59;7.09;124.98;57.41;210.96
0.23;-12.87;-2.97;-57.49;27.79;-109.61;46.51;2.86;5.66;42.32;287.83;-9.55;-23.71;-24.65;-24.82;-151.54;-310.01;-243.58;14.95;7.35;8.85;60.44;114.83;83.9
9.25;-3.86;-5.78;62.56;-13.37;112.95;18.11;6.35;13.82;198.93;150.02;377.78;-5.04;-31.59;-10.14;-181.33;-169.97;-290.63;6.78;9.22;6.55;120.5;90.21;218
1.02;-12.33;-3.19;-46.82;23.67;-109.01;39.41;7;6.59;39.85;241.67;-16.27;-18.13;-22.96;-21.48;-142.37;-230.85;-250.53;13.74;7.69;7.81;60.49;99.33;82.74
8.51;-4.44;-5.61;52.96;-15.17;96.11;18.41;5.76;11.63;192.62;148.08;381.97;-4.6;-30.71;-10.15;-167.79;-195.16;-270.42;6.47;8.69;5.45;114.33;89.87;223.17
0.92;-12.61;-2.96;-49.42;28.79;-118.07;38.52;4.03;6.72;42.18;236.3;-20.22;-19.51;-23.3;-18.53;-138.28;-245.61;-270.19;13.37;7.7;7.3;64.95;100.77;87.6
8.83;-4.02;-6.2;64.46;-18.03;95.67;17.9;3.78;15.69;194.01;119.44;364.33;-5.43;-33.14;-12.53;-185.87;-152.89;-290.09;5.98;8.82;5.76;118.18;84.98;214.94
0.85;-13;-2.93;-51.69;23.54;-119.74;41.74;4.98;6.36;42.38;258.97;-34.64;-16.98;-23.49;-17.53;-150.97;-246.09;-267.33;13.23;7.56;7.56;65.73;106.8;82.62
8.98;-3.75;-6.51;68;-22.63;98.78;17.01;6.2;17.65;215.64;172.99;378.36;-5.09;-33.24;-15.03;-228.84;-138.04;-296.02;6.01;9.72;6.47;135.76;88.19;220.12
0.73;-13;-2.71;-57.24;24.96;-109.32;42.83;4.3;4.82;52.06;221.58;-17.44;-18.25;-23.39;-17.93;-160.92;-210.98;-269.77;14.02;7.88;7.59;69.56;90.65;88.84
8.89;-4.05;-5.59;50.71;-10.47;99.67;16.16;5.51;16.23;222;78.45;368.31;-10.96;-32.64;-13.27;-219.42;-125.72;-306.23;5.6;8.88;5.61;126.71;61.61;221.47
0.36;-13.02;-2.64;-50.66;22.7;-113.36;42.42;3.85;7.59;55.02;290.11;-22;-19.39;-26.46;-20.27;-154.62;-263.52;-274.05;14.2;8.68;7.95;67.91;119.46;88.36
8.52;-4.01;-5.94;59.13;-13.03;88.72;17.11;5.63;20.35;202.97;119.75;369.41;-4.67;-28.82;-13.94;-220.78;-149.17;-320.51;6.13;8.68;6.65;132.58;88.13;227.94
-0.14;-12.77;-2.69;-57.17;18.89;-126.48;45.87;4.3;8.48;57.7;287.38;-14.84;-19.15;-26.3;-22.84;-155.44;-285.79;-278.6;14.03;8.08;8.23;72.26;122.12;96.41
9.85;-3.39;-6.17;65;-14.32;122.12;17.85;5.15;14.38;204;128.11;367.89;-7.09;-30.89;-14.04;-201.14;-142.63;-280.58;5.14;7.92;5.53;129.3;74.69;210.31
0.54;-12.96;-3;-48.95;29.41;-115.87;41.83;1.45;6.83;61.45;269.76;-20.95;-19.51;-25.43;-20.04;-153.37;-214.45;-278.15;13.99;8.34;8.16;73.29;105.65;88.97
8.46;-4.46;-5.8;64.34;-18.13;87.74;16.27;4.86;17.64;222.69;121.18;360.97;-5.46;-32.17;-11.03;-200.48;-148.22;-296.02;5.62;8.77;6.37;132.83;81.38;221.01
