4.44;-11.31;-1.92;-42.67;-15.98;-127.59;38.14;17.62;4.88;71.33;215.4;-37.36;-14.1;-26.14;-23.53;-169.48;-399.23;-221.43;12.86;10.39;7.76;52.51;142.21;56.84
8.59;-7.62;-1.97;35.6;20.33;95.4;18.08;4.71;21.58;156.53;175.97;449.95;-5.75;-35.12;-10.26;-253.26;-218.9;-313.52;4.57;8.76;5.93;101.89;124.42;242.76
4.23;-11.91;-1.16;-40.85;-18.89;-127.63;21.91;14.25;4.14;39.15;86.72;-0.48;-14.87;-26.01;-15.39;-139.03;-186.46;-253.32;9.92;9.49;6.07;46.6;85.39;72.72
8;-6.96;-2.44;77.39;42.98;159.98;17.77;1.32;18.26;233.08;298.25;436.3;-9.57;-32.13;-7.73;-162.93;-231.96;-298.2;7.87;7.94;6.62;124.05;143.51;235.3
3.49;-11.06;-1.59;-52;-19.54;-138.72;18.45;14.99;5.11;0.78;34.52;-53.99;-11.86;-27.56;-22.21;-144.06;-153.32;-257.12;9.33;9.58;6.87;36.93;60.69;64.97
7.66;-7.41;-1.81;35.98;18.23;105.89;14.84;2.36;19.75;167.87;276.37;445.1;-10.4;-35.5;-7;-152.44;-351.41;-297.04;6.67;9.16;5.85;94.31;163.19;240.73
4.51;-10.85;-2.39;-40.63;-12.07;-138.19;35.93;22.96;4.28;52.14;190.13;-28.75;-16.1;-32.16;-21.82;-197.2;-317.75;-243.91;12.79;12.12;7.64;51.72;135.88;68.68
8.15;-6.93;-3.06;59.2;28.89;125.03;16;3.49;19.48;192.9;237.08;476.21;-7.79;-34.07;-9.27;-175.88;-296.24;-299.92;5.74;10.71;7.13;105.23;164.4;248.89
4.6;-10.19;-2.01;-45.69;-0.24;-116.53;28.97;27.64;5.28;27.92;97.53;-24.52;-11.8;-38;-20.69;-200.19;-223.44;-230.24;11.47;13.78;7.28;56.84;88.72;57.06
7.45;-8.68;-1.69;29.79;15.62;102.35;14.98;4.23;19.58;138.9;225.46;491.45;-1.47;-36.5;-10.85;-229.98;-212.25;-279.61;4.04;10.23;6.42;106.61;140.64;265.06
3.45;-10.61;-1.15;-50.65;-16.42;-128.1;23.79;19.88;5.6;7.35;95.88;-30.25;-13.85;-30.98;-20.74;-161.8;-233.73;-251.72;10.99;10.75;6.58;47.23;89.78;67.83
8.81;-7.5;-2.6;44.32;20.52;109.73;14.63;4.89;16.72;149.31;183.77;461.92;2.86;-33.93;-8.66;-195.05;-201.61;-262.87;3.31;10.16;5.65;89.2;124.24;242.23
3.54;-11.07;-1.38;-49.7;-16.7;-136.1;23.36;16.16;5.5;17.68;90.95;-35.87;-13.66;-29.5;-15.43;-160.5;-165.32;-241.01;10.39;9.83;5.97;44.69;86.82;61.43
8.22;-6.61;-3.79;62.5;34.54;126.14;13.56;2.63;15.65;185.86;185.74;422.64;-0.27;-37.42;-10.77;-189.94;-271.09;-359.27;3.63;9.38;4.83;112.44;115.41;228.46
4.57;-11.41;-0.84;-56.7;-31.84;-133.78;33.75;20.78;10.54;49.08;135.12;-44.14;-13.93;-32.53;-19.23;-165.91;-289.1;-225.5;12.03;12.46;7.21;44.22;115.96;64.77
8.47;-7.36;-2.67;43.12;43.16;124.24;16.97;2.7;16.97;158.01;232.12;419.92;-5.31;-34.95;-6.73;-189.2;-274.13;-325.69;5.45;10.78;6.34;101.01;121.19;226.88
4.14;-10.81;-1.52;-43.07;-16.86;-136.14;30.51;22.47;6.02;46.83;156.01;-36.48;-13.97;-37.52;-22.28;-190.93;-274.99;-242.91;12.41;12.59;7.42;57.63;112.18;60.22
9.7;-7.54;-2.55;38.37;7.13;113.25;17.67;4.54;15.24;166.85;200.65;473.74;0.76;-34.83;-11.23;-246.2;-282.42;-301.6;4.03;9.18;4.86;102.97;146.1;254.17
3.37;-11.51;-1.36;-59.79;-7.48;-132.96;23.7;16.16;6.45;6.05;100.41;-28.58;-18.3;-30.27;-16.82;-180.47;-175.3;-236.79;12.06;11.04;6.45;48.33;95.19;65.9
9.05;-6.97;-2.56;53.12;29.13;132.71;13.78;6.51;23.52;198.46;210.07;471.06;3.4;-36.49;-9.96;-243.72;-153.32;-308.66;3.38;11.99;7.41;127.71;104.13;261.42
3.5;-10.66;-1.41;-46.21;-23.53;-130.57;24.73;18.51;6.94;23.09;60.8;-25.46;-13.12;-35.63;-21.38;-153.73;-194.43;-262.88;10.63;11.9;8.46;42.91;77.29;75.99
9.13;-7.61;-2.61;34.19;14.93;104.6;20.58;6.02;17.58;161.06;195.16;490.24;2.81;-34.83;-8.66;-235.44;-206.43;-321.66;4.2;10.26;5.74;105.5;133.91;266.03
4.03;-11.8;-1.72;-57.55;-19.59;-141.03;26.4;23.85;8.51;34.35;85.57;-36.04;-16.55;-32.78;-20.66;-183.72;-194.74;-245.64;11.41;12.09;7.5;55.86;86.53;62.09
8.83;-6.24;-3.32;59.83;34.67;126.48;16.97;5.54;21.08;210.47;253.7;477.62;-6.16;-32.95;-15.19;-244.15;-291.53;-331.01;5.97;10.04;6.41;116.49;156.78;263.19
